caller_pgmDepth,caller_pgmPartition,caller_pgmLibrary,caller_pgmName,caller_lineno,pgmDepth,pgmPartition,pgmLibrary,pgmName,pgmStepCount,pgmType,fileNo,filePartition,fileLibrary,fileName,cmdName/fileDevice,cmdPara/fileFormat,recordLength/fileStepCount,fileType,C,R,U,D,testTargetType,real_filePartition,real_ fileLibrary,real_ fileName
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6241,KOUBAI01,BAALIB,FILEA,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,FILEA
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6242,KOUBAI01,BAALIB,BAA070DK,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA070DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6251,KOUBAI01,BAALIB,OUTFL,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,OUTFL
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6252,KOUBAI01,BAALIB,BAA075DK,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA075DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6341,KOUBAI01,BAALIB,BAA075DX,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA075DX
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6351,KOUBAI01,BAALIB,BAA075DX,CRTPF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA075DX
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6391,KOUBAI01,BAALIB,BAA075DX,CLRPFM,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,BAA075DX
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6411,KOUBAI01,BAALIB,FILEA,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,FILEA
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6412,KOUBAI01,BAALIB,BAA075DK,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA075DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6421,KOUBAI01,BAALIB,OUTFL,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,OUTFL
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6422,KOUBAI01,BAALIB,BAA075DX,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA075DX
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6511,KOUBAI01,BAALIB,BAA075DX,CPYF,FROMFILE,-,-,-,R,-,-,todo,KOUBAI01,BAALIB,BAA075DX
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6512,UnknownPartition,UKIKLIB,WRIEKIJ,CPYF,TOFILE,-,-,C,-,-,-,todo,UnknownPartition,UKIKLIB,WRIEKIJ
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6541,UnknownPartition,UKIKLIB,RIEKIJ,CLRPFM,FILE,-,-,-,-,-,D,todo,UnknownPartition,UKIKLIB,RIEKIJ
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6551,KOUBAI01,BAALIB,INPUT,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,INPUT
